System,Format,Magnitude,Period,Time,Duration,Depth,Ratio
393940766,120sec,11.7835,6.2016049939827464,2067.15092993939,0.33,0.003032306455658958,0.6951360203855306
1493.01,20sec,9.7116,5.149264926492649,2856.1843891338485,0.2,0.003757167204811115,0.9379673941188161
15692883,120sec,9.7116,5.149042874584488,2856.184967855916,0.2,0.003524100332365358,0.9379673941188161
1494.01,20sec,10.3002,5.026402640264027,2856.419501856942,0.1,0.005028211990582667,1.005298991747538
411608801,120sec,10.3002,5.026918038338487,2856.4150805790096,0.1,0.005054856444425636,1.005298991747538
150.01,20sec,10.9031,5.857185718571857,2040.8838387543576,0.2,0.006123401774955076,0.9785486017355485
271893367,120sec,10.9031,5.856462919019176,2040.8794174506368,0.2,0.005992046244747266,0.9785486017355485
157.01,20sec,12.0166,2.0835583558355837,2037.3793130030792,0.05,0.010834818539287272,1.1047210218768806
140691463,120sec,12.0166,2.0842870965764444,2037.3748917083808,0.05,0.011969451808572005,1.1047210218768806
163.01,20sec,10.8719,4.230723072307231,2039.7088092019897,0.15,0.006684851449869845,1.0051590323014776
179317684,120sec,10.8719,4.230174997697789,2039.7143879082223,0.15,0.006719338814430303,1.0051590323014776
169.01,20sec,11.788,2.255175517551755,2037.9053077831284,0.05,0.004862376058941009,1.0055559723977885
183120439,120sec,11.788,2.254625192492246,2037.9108864961133,0.05,0.004889391286112153,1.0055559723977885
172.01,20sec,10.7379,9.48064806480648,2066.121104734673,0.2,0.0033730650882716497,0.9099011592558297
29857954,120sec,10.7379,9.470296489594954,2066.1216834395186,0.2,0.0030691558340637417,0.9099011592558297
1826.01,20sec,11.2086,4.141014101410141,2856.995178425047,0.1,0.007075976815759821,1.0126315238552783
229400092,120sec,11.2086,4.142030089597618,2856.9957571238897,0.1,0.007165357185707487,1.0126315238552783
193.01,20sec,9.1031,0.7925292529252925,2088.45405526005,0.05,0.0008246988958415667,0.9836416095853414
183985250,120sec,9.1031,0.7920089263651838,2088.4496339723487,0.05,0.0008112081493288526,0.9836416095853414
2119.01,20sec,10.3978,4.801415920169874,2700.364204079376,0.05,0.04487733440865759,1.0068831816935868
236387002,120sec,10.3978,7.202820282028202,2700.363949550487,0.05,0.04518623325531624,1.0068831816935868
2179.01,20sec,11.4864,15.167416741674167,2092.762060411874,0.05,0.006995537035084815,1.0087868640190474
237913194,120sec,11.4864,7.583241447457076,2092.762639119516,0.05,0.007057005867752314,1.0087868640190474
481.01,20sec,9.3935,10.336783678367837,2038.5271950814124,0.2,0.003845269273838302,1.0183446274504595
339672028,120sec,9.3935,10.117778767075627,2038.5277737778663,0.2,0.003915809306113564,1.0183446274504595
488.01,20sec,11.1972,1.1981698169816983,2964.552188118762,0.05,0.0009037482658542707,0.9793615179992223
452866790,120sec,11.1972,1.1981225800347812,2964.5532297933282,0.05,0.0008850962735362033,0.9793615179992223
503.01,20sec,9.19813,3.6768676867686767,2231.202537597605,0.05,0.0031116752623229376,0.9541251367960357
186812530,120sec,9.19813,3.67650810985689,2231.203442423046,0.05,0.002968927585328713,0.9541251367960357
540.01,20sec,11.5045,0.7262226222622262,2145.1408787811824,0.25,0.0014344113444520585,0.9991883570756324
200322593,120sec,11.5045,0.7258553488112087,2145.1464574977854,0.25,0.0014332471146337013,0.9991883570756324
562.01,20sec,8.74094,3.930393039303931,2256.953153118056,0.05,0.000978011492946894,1.1240041789471944
413248763,120sec,8.74094,3.9308589274769066,2256.9522073819326,0.05,0.0010992890051306934,1.1240041789471944
569.01,20sec,9.4727,6.633363336333633,2231.0484776445087,0.33,0.005964361948282376,0.47055332937875627
123482865,120sec,9.4727,6.559029755360775,2231.0490102391072,0.33,0.0028065503723842373,0.47055332937875627
576.01,20sec,8.86849,5.441794179417942,2259.2881921395406,0.15,0.002521417740220228,1.0103951461310814
408310006,120sec,8.86849,5.444462853125997,2259.287246550566,0.15,0.0025476282460873186,1.0103951461310814
625.01,20sec,9.6129,4.786528652865287,2232.9862092613853,0.2,0.0062926512924670166,1.0553078250979557
379929661,120sec,9.6129,4.786183793896941,2232.9870194722885,0.2,0.0066406841495532075,1.0553078250979557
626.01,20sec,9.50712,4.4003900390039,2967.673414562919,0.2,0.005503767704868529,0.9845049583672886
65412605,120sec,9.50712,4.401104196828324,2967.6714007519518,0.2,0.005418486595144818,0.9845049583672886
652.01,20sec,7.3635,3.9849984998499846,2989.68412570432,0.1,0.00034168822564417076,1.0472863379165565
22221375,120sec,7.3635,3.985132581665007,2989.683457854408,0.1,0.00035784541054408964,1.0472863379165565
677.01,20sec,9.271401,11.235823582358236,2996.997092471451,0.1,0.007553195297845841,0.9975544645690598
280206394,120sec,9.271401,11.238936539918619,2996.9927957256164,0.1,0.007534723691128149,0.9975544645690598
682.01,20sec,9.2231,6.8439843984398445,3016.732138090347,0.15,0.001143758392952243,1.070944313529927
429304876,120sec,9.2231,6.839729382479202,3016.733226732383,0.15,0.0012249015469843324,1.070944313529927
755.01,20sec,9.4628,2.5397372320490375,3043.5734269083378,0.1,0.0004594086814665061,1.0632707046909693
73228647,120sec,9.4628,2.53990399039904,3043.5690056229532,0.1,0.000488475792484041,1.0632707046909693
905.01,20sec,10.5721,3.7392739273927393,3071.8221255690046,0.05,0.013502672704052528,0.9913461749456609
