System,Format,Type,Magnitude,Period,Time,Duration,Depth,Ratio
1527.01,20sec,PC,9.6968,5.061506150615061,2856.693005697887,0.15,0.0023327483514849,1.1107037471969443
1548.01,20sec,PC,8.7282,10.21163146917752,2853.5886393589667,0.33,0.0002627743354341,0.5511654841951764
155.01,20sec,PC,9.0284,5.447644764476448,2062.475783546985,0.2,0.0010239947324954,0.9829504085112388
1598.01,20sec,PC,8.6344,1.1026102610261026,2882.6793863070784,0.05,0.0003732992105275,0.9122880316806689
1605.01,20sec,PC,9.62924,8.707283599647093,2887.4242564300503,0.1,0.0036479289749514,1.0080001027298633
161.01,20sec,PC,11.4964,2.768076807680768,2037.200028056155,0.2,0.0026573935679286,1.0595650750968757
1611.01,20sec,PC,7.5825,16.934293429342933,2898.215720149324,0.1,0.0009712425543234,0.7909726736824748
1630.01,20sec,PC,8.9943,14.33858385838584,2896.5115120612427,0.33,0.0024312156227805,0.1329143197049409
1652.01,20sec,PC,8.68013,0.6657665766576658,2912.251871918786,0.05,0.0002123141809268,1.1049590729055294
1653.01,20sec,PC,9.353,10.954995499549955,2913.8104311130264,0.1,0.0037410861695752,1.0668338806519762
1654.01,20sec,PC,10.1556,0.5928497440203067,2825.732601843421,0.33,0.000165627154586,0.7409925174228503
166.01,20sec,PC,10.7258,5.063456345634563,2065.3105193484657,0.05,0.0040495900833331,0.9701706360190834
1669.01,20sec,PC,9.52906,2.6803180318031803,2913.097706008441,0.1,0.0003809684128574,0.9064243292030748
1675.01,20sec,PC,9.9944,4.664325163389426,2886.5629234337307,0.33,0.0005055308544895,1.8024493363496248
1684.01,20sec,PC,7.3543,1.1552655265526552,2912.499395612569,0.05,0.0005273150237613,1.0512019722138062
1685.01,20sec,PC,11.1117,0.6691759184919392,2912.265352803186,0.05,0.0006407385581702,0.827373174578963
1706.01,20sec,PC,10.486,2.484942958742318,2391.078621747148,0.33,0.0002984670281044,1.26118193965905
1713.01,20sec,PC,10.618,0.5565556555655565,2939.962966580394,0.05,0.0006197812545535,1.0001746329736911
1718.01,20sec,PC,8.2558,5.586108610861087,2501.717742382793,0.1,0.0017762465852352,1.0111232115317523
1735.01,20sec,PC,8.3412,12.115361536153616,2835.098471069847,0.15,0.0003489071461957,0.8967593368790238
1736.01,20sec,PC,8.3302,7.076057605760576,2719.3610578375888,0.15,0.0005227027817756,0.8871229776398973
1737.01,20sec,PC,8.57502,15.35853585358536,2836.841144263627,0.33,0.001320480460864,0.1895951935871075
1765.01,20sec,PC,11.7176,3.493549354935493,2826.3756148393977,0.1,0.0025702141707623,0.9812257475571564
1769.01,20sec,PC,9.4819,0.6092109210921092,2580.554451692328,0.05,0.0003142974316876,1.0922238693216015
1797.01,20sec,PC,8.6259,3.6448761437799937,2610.0331150257134,0.1,0.000881612293675,0.972197472320708
1798.01,20sec,PC,10.5191,7.371902311743327,2641.966785041833,0.25,0.0004459720982289,1.7027795953962108
1873.03,20sec,PC,10.7447,6.990249024902489,2394.59597128746,0.1,0.000764564698953,0.1563514960789214
1954.01,20sec,PC,8.9718,4.922797815335089,3015.1405322627857,0.2,0.0017621357783658,0.8653563256424746
196.01,20sec,PC,8.0674,1.1630663066306632,2062.5980661884905,0.05,0.0004617254850666,1.033381653955659
1966.01,20sec,PC,9.0492,1.4867986798679869,3042.137092512244,0.33,0.0007096244277917,1.0892390480232157
2000.01,20sec,PC,10.3579,9.12961296129613,2283.4819429158724,0.15,0.0033364954456163,1.0531835397385694
2005.01,20sec,PC,9.4916,17.302880288028803,3020.841910538816,0.15,0.0026879040987518,0.9951563773651962
201.02,20sec,PC,8.5822,6.258925892589259,2039.067078454728,0.33,0.0003080693901759,0.7664782267773252
205.01,20sec,PC,9.4525,3.3820713079408757,2062.2885483627038,0.33,0.0001592532525366,1.444341736078161
2050.01,20sec,PC,9.70362,15.356585658565855,2837.6435368687185,0.33,0.0009928714353271,0.5815170837289936
2056.01,20sec,PC,7.3307,11.157815781578158,2855.3624449192284,0.33,0.0001925011845444,0.9354765563777616
2060.01,20sec,PC,9.8722,3.1252523317138188,2884.863417525154,0.33,0.0003492788226524,0.7995158995631759
2069.01,20sec,PC,7.9726,5.335809976137127,2825.7360292402727,0.33,0.0024010912089345,0.8508053449360691
2096.01,20sec,PC,13.4764,4.291179117911791,2941.0232296113136,0.33,0.004934066245691,1.1236412150404584
210.01,20sec,PC,12.5395,12.27156635555545,2047.5339195432728,0.33,0.0034170092486943,1.267838059120311
2104.02,20sec,PC,10.0556,5.902040204020402,2391.0853806438467,0.1,0.0003713631105213,1.1178595975171413
2184.01,20sec,PC,11.4057,6.914191419141915,2091.863919162335,0.25,0.0018130236898423,0.9162673681999404
2194.01,20sec,PC,7.4259,15.350735073507352,3141.977099645586,0.15,0.0007689400987563,0.8875550092446753
220.01,20sec,PC,9.6878,10.676117611761176,2041.797712410836,0.1,0.0008380279628838,1.2355278505775944
2215.01,20sec,PC,9.977,6.258925892589259,3129.482332671855,0.33,0.0023746928560218,1.3581140953631547
2324.01,20sec,PC,9.14425,1.0382538253825384,3155.12668291924,0.2,0.0001937424290812,1.0918909060193756
233.01,20sec,PC,11.3018,11.670717071707172,2088.794930367202,0.1,0.0021511062860106,1.334863293277116
235.01,20sec,PC,9.4688,10.093009300930094,2043.4195360741087,0.05,0.0016062843637108,1.2724502324674514
2388.01,20sec,PC,8.115,1.2917791779177918,2964.9251076186733,0.33,0.000179917178302,0.8814934468797205
2401.01,20sec,PC,9.0982,5.866936693669367,2260.947913448711,0.1,0.002207261607375,0.8439351281753861
245.01,20sec,PC,8.5509,7.505100510051005,2063.225153519418,0.33,0.0020058066202338,0.6084963712351732
283.01,20sec,PC,9.6768,10.470052900879647,2044.058058320305,0.33,0.0004461960188463,1.1605003447621554
328.01,20sec,PC,12.7703,4.4783978397839785,2063.489759612253,0.33,0.0036523400625624,1.2406223353656909
332.01,20sec,PC,11.5273,0.776927692769277,2062.449791186882,0.05,0.0011903705857765,0.988872678410515
520.01,20sec,PC,9.3777,0.5058505850585059,2964.0822949734707,0.33,6.126058537673617e-05,1.1435667986629634
522.01,20sec,PC,7.3645,0.7944794479447944,2964.149542826364,0.25,7.082404687323763e-05,0.7978793713929391
533.01,20sec,PC,10.9621,19.57680768076808,2037.272941318836,0.15,0.001517057856555,1.1260409944723129
554.01,20sec,PC,6.4386,7.042904290429044,2175.733721119481,0.15,0.0002349910501349,1.1775005175927655
560.01,20sec,PC,8.5925,3.999849759953492,2964.489207130258,0.33,0.0009656583975989,1.3687236359095305
570.01,20sec,PC,10.027,1.469246924692469,2990.566915587916,0.05,0.0008461499961252,1.068148036308464
579.01,20sec,PC,9.6668,1.683768376837684,2964.047567720864,0.1,0.0006037800021654,1.37171672952307
601.01,20sec,PC,9.9223,3.477947794779478,2964.6670347127683,0.1,0.0010195092517054,0.9631062195932366
616.01,20sec,PC,9.9794,2.805130513051305,2990.341910726878,0.1,0.0027482779547231,0.956755843823788
622.01,20sec,PC,8.5615,6.403240324032404,2967.661754694804,0.15,0.0033885543831656,1.015241455183875
658.01,20sec,PC,9.5359,4.718271827182718,2992.5198432791617,0.05,0.0016744745509789,1.324551360432569
659.01,20sec,PC,10.245,4.718271827182718,2992.5198432791617,0.05,0.0016744745509789,1.324551360432569
699.01,20sec,PC,9.8106,13.632613261326131,2046.9028335012224,0.2,0.0005967478066004,0.515622695584671
721.01,20sec,PC,10.1805,11.932043204320433,2046.213474425372,0.33,0.0005436859622332,1.1804162924873949
722.01,20sec,PC,11.9755,8.92383531782521,2041.5183779722215,0.33,0.0024708694266601,0.57991206555965
739.01,20sec,PC,11.6049,9.01845184518452,2043.3072048302645,0.05,0.0037043835099296,1.173768784741909
746.01,20sec,PC,11.3786,10.262676267626762,2061.9002709742235,0.1,0.0049609952359105,1.6179783921320865
777.01,20sec,PC,9.3712,8.3007800780078,3045.033052439363,0.2,0.002199797560265,0.9851217433599734
783.01,20sec,PC,9.9222,9.203720372037203,3041.282452164801,0.33,0.0039021922770576,0.4378519563899825
784.01,20sec,PC,8.7537,3.8718234559729607,3014.5351573365315,0.33,0.0004785738269138,0.677434869846725
797.01,20sec,PC,11.7144,1.911941194119412,2037.72392742785,0.33,0.0004032478742318,2.06167868406246
823.01,20sec,PC,9.9623,13.529252925292528,3070.6591276001723,0.15,0.0020808862139694,1.0630129452580883
832.01,20sec,PC,11.7611,2.303930393039304,2037.9270695984324,0.33,0.0016220616398285,1.181684384562591
874.01,20sec,PC,8.7542,5.90984098409841,2968.8663744640653,0.15,0.0002396578293497,0.8307820622799752
899.01,20sec,PC,11.5865,8.231929223525414,2036.3636131449275,0.15,0.0008269739494778,1.313556752039531
901.01,20sec,PC,9.6877,3.2283228322832285,3098.883624869841,0.33,0.0011078256355156,1.2809853299858465
903.01,20sec,PC,11.7874,7.276927692769277,2039.8844876907272,0.2,0.0029852329702456,1.0643616202506028
904.01,20sec,PC,10.846,6.767378222970812,2039.739790928156,0.33,0.0012163699568881,0.934494158315084
906.01,20sec,PC,8.5097,1.6642664266426646,3069.2734889485587,0.05,0.001121538021878,0.9985318397139684
913.01,20sec,PC,9.6181,11.161716171617162,3079.2362608712738,0.15,0.0012896636165614,0.960550197883721
104.01,20sec,KP,9.8638,4.0883588358835885,2038.8624209985355,0.2,0.0033479343459638,1.001704987992958
1144.01,20sec,KP,8.5077,4.887938793879388,2420.376294561908,0.1,0.0033557869914416,0.928260786969184
1237.01,20sec,KP,10.2768,14.104560456045602,2404.585583647037,0.33,0.0023024854967072,0.4843987048638681
1407.01,20sec,KP,7.7275,9.974047404740476,2065.455670162748,0.15,0.000152399279927,1.9325612999885784
1773.01,20sec,KP,5.2058,0.735973597359736,2500.4509440972406,0.05,0.0003474971419979,1.017457905558648
1796.01,20sec,KP,8.40346,2.6432643264326434,2642.6083052549216,0.05,0.0037629748058909,0.9894098285440694
1821.01,20sec,KP,6.9859,9.490399039903991,2645.108442336757,0.1,0.0009691937153963,0.8189168789036351
1911.01,20sec,KP,12.5757,7.836271678472978,2150.637966448035,0.2,0.0042674474844495,1.0079518208858342
1914.01,20sec,KP,12.2309,4.193669366936694,2202.8857170504207,0.05,0.004657666944433,1.062435965689153
1916.01,20sec,KP,12.4539,1.8885388538853884,2202.3102333700263,0.15,0.004646365111674,0.974618676003055
1918.01,20sec,KP,12.2876,2.898916759362705,3015.980631950856,0.33,0.0033176539839442,0.8718123816078693
1931.01,20sec,KP,12.0233,3.817281728172818,2285.614965653977,0.2,0.003900377604068,1.0451459786210004
1933.01,20sec,KP,12.941,3.263426342634264,2201.9755710565264,0.2,0.004461256403891,1.0917680065704154
2199.01,20sec,KP,11.4513,3.3765376537653764,2038.5132460116608,0.1,0.0038778105244449,0.9959592564995696
2380.01,20sec,KP,9.4834,5.215571557155716,2092.5245393825708,0.2,0.0043450411822929,1.0406315296982511
264.01,20sec,KP,10.4614,2.2161716171617165,2117.143883342084,0.15,0.0038554315081779,1.0213676233800566
267.01,20sec,KP,8.93,5.751875187518752,2089.776638915252,0.2,0.0047276446090255,0.9918471173434068
465.01,20sec,KP,10.7307,3.836783678367837,2146.8398777550237,0.1,0.0044317938262442,0.9784252077832408
492.01,20sec,KP,11.3155,3.121062106210621,2229.9634130583354,0.15,0.0045984235752177,1.1199484604795924
664.01,20sec,KP,7.3212,4.73972397239724,2993.619668975651,0.25,0.0022197475787702,1.0018592815164076
667.01,20sec,KP,10.8372,1.6291629162916292,2282.6135861210587,0.05,0.0012908323867802,1.1332961370410453
685.01,20sec,KP,9.9623,11.631713171317132,2256.325520131295,0.2,0.0022249422390192,1.1294279604419002
825.01,20sec,KP,12.4284,3.1854185418541854,2309.0765149380973,0.1,0.004249743451493,0.9188669946025428
1054.01,20sec,CP,8.4362,15.51065106510651,2037.1530093816427,0.2,0.0005188156178785,1.0985395790373096
1078.01,20sec,CP,10.1165,0.5175517551755175,2036.5828154532744,0.05,0.0004246456733981,1.1537077178377229
118.01,20sec,CP,9.179,6.034653465346535,2065.40426748506,0.1,0.0012479180045903,0.8692812550099337
122.01,20sec,CP,13.084,5.069306930693069,2040.041969121706,0.1,0.0046643292994173,1.207260961793381
123.01,20sec,CP,7.87598,3.3082808280828084,2063.25607177703,0.2,0.0036393462336924,1.0432642368534586
1233.02,20sec,CP,8.6522,11.25739576657936,2311.4035012773707,0.15,0.0011239101379677,1.0051765157376662
125.01,20sec,CP,10.1985,4.651965196519652,2062.4276964119845,0.1,0.0008883808439382,1.078994364289664
1266.01,20sec,CP,11.0402,10.896489648964897,2420.96671437645,0.1,0.0024493667928527,0.9868116382625424
130.01,20sec,CP,7.4371,14.354185418541856,2039.1804372252773,0.2,0.00035058884938,0.9778502801493004
132.01,20sec,CP,10.8061,2.108910891089109,2063.185198039805,0.1,0.0012127401046432,0.9575201920174262
1339.01,20sec,CP,8.2929,8.878037803780378,2425.78445919191,0.1,0.0011041463765329,0.941817335435922
136.01,20sec,CP,11.9238,0.9251425142514252,2036.341359066892,0.05,0.0017288859703776,1.0635683776252782
1406.01,20sec,CP,11.4266,10.586408640864086,2154.7805510176854,0.15,0.0047804978458658,0.980742527782666
141.01,20sec,CP,7.384,1.009000900090009,2036.3317171498225,0.05,0.0001983092937445,0.988119132024058
148.01,20sec,CP,11.7835,4.87038703870387,2062.25535122104,0.1,0.0043621771376157,0.6951360203855306
1493.01,20sec,CP,9.7116,5.149264926492649,2856.1843891338485,0.2,0.0037571672048111,0.937967394118816
169.01,20sec,CP,11.788,2.255175517551755,2037.9053077831284,0.05,0.004862376058941,1.0055559723977885
172.01,20sec,CP,10.7379,9.48064806480648,2066.121104734673,0.2,0.0033730650882716,0.9099011592558296
175.01,20sec,CP,9.41242,3.6905190519051914,2064.815047770261,0.05,0.0016495663328985,0.9585816594184744
178.01,20sec,CP,10.42,4.445590756195331,2090.1439792417286,0.33,0.0004587596156177,2.0841838891258733
193.01,20sec,CP,9.1031,0.7925292529252925,2088.45405526005,0.05,0.0008246988958415,0.9836416095853414
270.01,20sec,CP,10.4981,5.66021602160216,2119.7164099107104,0.05,0.0037586626364627,0.9711946230952736
