TOI,TIC,Magnitude,20 Period,120 Period,20 Depth,120 Depth,20 Std,120 Std,20 M/B Std,120 M Std,Ratio
1478.01,409794137,10.2042,10.18121797176717 d,10.181243671924948 d,0.009286291,0.00926901,0.002807112,0.001552131,0.001084262,0.001137746,1.0493275610507424
1505.01,331034236,9.27116,3.435379346554524 d,3.420491959177914 d,0.00052562,0.000549556,0.002010903,0.000828987,0.000874914,0.000823257,0.9409576255494826
1506.01,64836837,9.8115,14.321100771910364 d,10.905940564050404 d,0.001038744,0.001354313,0.0027641,0.001199647,0.001153577,0.001190365,1.0318903722941772
1518.01,427761355,8.75127,1.9024902790339047 d,1.902633617694202 d,0.008552403,0.008558596,0.001952603,0.00160899,0.000843438,0.000773498,0.9170774852449143
1520.01,269238073,9.68805,6.12181173108309 d,6.258518006019025 d,0.003616536,0.003277858,0.003119646,0.002114976,0.002290759,0.00197848,0.8636788068932612
1522.01,367102581,9.39575,2.9815482448424877 d,2.9822116775223897 d,0.000513522,0.000579513,0.001752657,0.000886169,0.000734254,0.000878417,1.1963394138813
1527.01,202375913,9.6968,5.061806210627064 d,5.061187996984516 d,0.00233289,0.002587743,0.001962435,0.000977455,0.000820005,0.00084292,1.0279449515551735
1528.01,285543785,9.716,9.939844074425448 d,9.938156161847807 d,0.006648479,0.006668538,0.002275921,0.00133046,0.001073038,0.001108498,1.0330463599611572
1548.01,440100539,8.7282,10.214332009285542 d,10.93841339525031 d,0.000264301,0.000305683,0.001173241,0.000577503,0.000489752,0.000575579,1.1752458387102045
1605.01,101037590,9.62924,8.706383419611086 d,8.706120582052204 d,0.003649862,0.003677113,0.001951631,0.000893915,0.00079089,0.000830661,1.0502863862231158
1611.01,264678534,7.5825,16.933393249306924 d,21.36676173618112 d,0.000971243,0.000867159,0.000669707,0.000332799,0.000294215,0.000326738,1.1105416107268493
1653.01,156724719,9.353,10.955295559561957 d,10.952460787629919 d,0.003745387,0.003991117,0.001831681,0.001086151,0.00091321,0.001017072,1.1137328763373155
1669.01,428679607,9.52906,2.6812182118391874 d,2.678581306900552 d,0.00038358,0.000417237,0.001759229,0.000793579,0.000732156,0.000792179,1.0819811624844977
1706.01,230377505,10.486,1.1283716444794656 d,3.6378602753253926 d,0.00021389,0.00040912,0.003331893,0.00174673,0.001405708,0.001739035,1.2371239261638975
1717.01,149833117,9.52339,4.052355145496547 d,4.052166625294392 d,0.006246044,0.006738123,0.002330714,0.00159614,0.001261663,0.001156014,0.9162621080272623
1718.01,257241363,8.2558,5.58640867087309 d,5.586244748108179 d,0.001779267,0.001681117,0.001006017,0.000528909,0.000490506,0.000476909,0.9722796459166656
1735.01,365673804,8.3412,12.115061476141614 d,10.393252766821876 d,0.00034985,0.000390205,0.000953003,0.000475209,0.000402169,0.000472259,1.1742799668795953
1736.01,408618999,8.3302,7.075157425724569 d,7.0775141870892835 d,0.000522493,0.000423469,0.00105329,0.000480977,0.000461675,0.000474607,1.0280110467320085
1765.01,272672133,11.7176,3.490248694803466 d,3.494240108088218 d,0.00257519,0.002723886,0.005948537,0.002446123,0.00241996,0.002395252,0.9897899138828741
1797.01,368435330,8.6259,3.645176203791996 d,5.0700494434320404 d,0.000880274,0.000445562,0.001212852,0.000705137,0.000639205,0.000696972,1.090373197956837
1951.01,356590734,9.8722,4.829733003306332 d,4.829202399684912 d,0.007009137,0.007053308,0.002371608,0.001511771,0.000911698,0.001013906,1.1121072986888203
1954.01,466113537,8.9718,4.921897635299082 d,4.912841434173423 d,0.001764299,0.001529542,0.002473494,0.001748662,0.00184153,0.001727904,0.9382980456468262
2000.01,371188886,10.3579,9.12451194109209 d,9.124315626891223 d,0.003338158,0.003520209,0.002905751,0.001341023,0.001210744,0.001234452,1.0195813483279703
2005.01,147660886,9.4916,17.3025802280168 d,16.335473959200154 d,0.002687557,0.000595839,0.001833576,0.000794586,0.000766141,0.000793553,1.0357793147736514
2050.01,316468545,9.70362,15.35748583860186 d,13.616911001034095 d,0.000992823,0.000577372,0.002108247,0.000911327,0.000880588,0.000910274,1.0337115654539921
2056.01,396356111,7.3307,11.170718362094261 d,11.356058963223052 d,0.000194043,0.000180486,0.000612513,0.00029809,0.000266343,0.000296319,1.1125466034399254
2060.01,285542903,9.8722,4.164960273302136 d,2.265676837737784 d,0.000394108,0.000282243,0.002178719,0.00096449,0.00091567,0.000962618,1.0512717463715093
2069.01,198187049,7.9726,5.33490979610112 d,5.1534396288198545 d,0.002401607,0.002391969,0.002090475,0.001899971,0.0017975,0.001822306,1.0138002781641169
2096.01,142748283,13.4764,4.292679417971803 d,4.6610693574283255 d,0.004943631,0.00561796,0.021312172,0.012541819,0.009259081,0.012461971,1.3459187796283454
2104.02,367630162,10.0556,5.902940384056409 d,5.888726376258962 d,0.00038267,0.000451841,0.002381471,0.001033352,0.000982832,0.001031535,1.0495537385840104
2184.01,176956893,11.4057,6.911490879033893 d,6.914742734426464 d,0.00181634,0.001533731,0.004988391,0.002159329,0.002035801,0.002134483,1.0484733036284
2194.01,271478281,7.4259,15.35043501349535 d,15.350539494414488 d,0.000770959,0.00077786,0.000631741,0.00036846,0.000276239,0.000356808,1.2916641024619986
2195.01,24695044,10.9916,4.165166786732684 d,4.165198127988619 d,0.007430813,0.007288419,0.003933105,0.001919616,0.001650489,0.00172029,1.0422911028186193
2202.01,358107516,12.173,12.69990925877945 d,11.913407357588996 d,0.0142525198036231,0.0149575981014352,0.009073505,0.004556393,0.004882278,0.00419811,0.8598670538629712
2215.01,425561347,9.977,6.258625832577256 d,9.350348730915629 d,0.002376282,0.003544985,0.00328435,0.003061928,0.002105586,0.00301257,1.4307513442813544
2328.01,394287035,11.584,17.547853735163475 d,20.966500651135348 d,0.0100441009227023,0.001382128,0.005555404,0.002476229,0.0022741,0.002474809,1.0882586517743285
2373.01,332558858,12.5882,13.343684338427842 d,13.344448613775272 d,0.009475909,0.009205956,0.012735011,0.005271618,0.005178296,0.005167727,0.9979589811011191
2387.01,237885040,11.8933,5.6606659165616495 d,5.660859350276464 d,0.006331539,0.007363655,0.006483993,0.002954996,0.002706489,0.002887473,1.0668703992515767
2401.01,11521555,9.0982,5.8666366336573645 d,5.87285945816604 d,0.002206912,0.001863882,0.001478362,0.000823766,0.000675024,0.000743557,1.101526760529996
2416.01,237922465,12.4333,8.280078277881799 d,8.27333606448854 d,0.006449071,0.006570152,0.008740864,0.004130014,0.003557276,0.00401039,1.1273766781098795
