TOI,TIC,Magnitude,20 Period,120 Period,20 Depth,20 Error,120 Depth,120 Error
1031.01,304021498,9.7318,5.652815912,5.650465047,0.001121824,2.314437361,0.001235629,0.813208358
161.01,348770361,11.4964,2.768076808,2.767825117,0.002656721,2.106355477,0.002779213,0.803830461
560.01,101011575,8.5925,3.99984976,6.853735374,0.000965684,1.504642098,0.001138601,0.802089932
255.01,204317710,13.7426,2.812931293,2.811836382,0.012838616,1.997121284,0.0132816,0.798454607
554.01,407966340,6.4386,7.04290429,7.043492468,0.000235028,1.657978202,0.000291587,0.796228862
1067.01,201642601,13.1686,3.132763276,3.131447348,0.010048142,1.876006346,0.010843111,0.793270393
574.01,315002523,12.4257,3.302430243,3.301623097,0.007707567,1.287949578,0.006611206,0.782265192
770.01,248111245,12.3335,4.638313831,4.639652714,0.006519362,1.570132186,0.00731156,0.778616657
130.01,263003176,7.4371,14.35418542,14.32524164,0.000350489,1.696749842,0.000371971,0.774084778
1914.01,53750200,12.2309,4.193669367,4.193552839,0.004648213,1.970084706,0.004859577,0.766099984
515.01,366622912,13.7988,3.113261326,3.115200787,0.017437066,1.733685269,0.019016479,0.763379799
303.01,145750719,12.0213,3.561806181,3.560898349,0.005027593,1.71141931,0.004896318,0.75971717
1086.01,468148930,12.2303,3.717821782,3.71490862,0.004590105,2.048884049,0.004621883,0.758469367
1922.01,112604564,12.3213,6.829298997,4.581758176,0.007390951,2.139535443,0.009636849,0.736530484
1923.01,114299824,12.9264,4.203420342,4.206946527,0.014332638,1.865891868,0.014730481,0.732751731
1394.01,431156009,9.44275,2.957245725,2.956227621,0.000946057,1.999106437,0.001132402,0.72741535
1036.01,146172354,10.2855,3.780228023,3.782461369,0.002067635,1.521706389,0.002182432,0.700825506
155.01,129637892,9.0284,5.447644764,5.448591169,0.001030815,1.372908069,0.00100015,0.69237693
1796.01,138819293,8.40346,2.643264326,2.643945853,0.003757527,0.745187386,0.00391922,0.691707571
109.01,29344935,13.2366,2.766126613,2.766738533,0.012746301,1.609745379,0.012843748,0.684360208
2215.01,425561347,9.977,6.258925893,9.383055272,0.002376069,1.185950829,0.003542715,0.679221105
1022.01,47384844,8.72924,3.735373537,3.705552733,0.00090465,1.51796139,0.001936532,0.67635786
2416.01,237922465,12.4333,8.277377738,8.272435884,0.006448594,1.355414357,0.006535795,0.663628485
738.01,260304800,12.7474,3.440894089,3.440201873,0.007003305,2.142648379,0.007257454,0.661031184
118.01,266980320,9.179,6.034653465,6.031973989,0.001244291,1.340767231,0.001338844,0.659009315
546.01,36440357,13.1573,9.201770177,9.207458617,0.013188148,1.446127028,0.013086377,0.658923619
823.01,158978373,9.9623,13.52925293,13.5256752,0.002084731,1.064635422,0.001810902,0.656655342
2199.01,369455629,11.4513,3.376537654,3.377485273,0.003885784,1.412460094,0.003847811,0.653127791
1930.01,160578764,12.1014,2.879237924,2.877858083,0.006103631,1.356320519,0.006715875,0.651911626
1073.01,158297421,13.6699,3.922592259,3.923418579,0.026099689,1.158693702,0.028968565,0.650698729
682.01,429304876,9.2231,6.843984398,6.839729382,0.001141974,1.289302041,0.001069824,0.647734312
1468.01,243185500,10.8858,15.55002548,15.52235224,0.002116894,2.169513502,0.00315591,0.631387214
1006.01,156115721,9.2386,2.50480048,2.504356039,0.001826857,1.21564683,0.001862527,0.617121052
1821.01,82308728,6.9859,9.49039904,9.492222039,0.000965926,0.567764381,0.000766633,0.61651845
2069.01,198187049,7.9726,5.335809976,5.410591059,0.002401338,0.962357679,0.002391969,0.606771169
466.01,4616072,12.8893,4.187818782,4.187376793,0.009808991,1.324134321,0.010506996,0.60464003
562.01,413248763,8.74094,3.930393039,3.930858927,0.000962388,1.374774577,0.001020287,0.603587885
934.01,220475245,12.708,3.782178218,3.78121426,0.013992696,0.987967476,0.01399827,0.599345889
1248.01,232612416,11.1153,4.359435944,4.360613244,0.004405111,1.009238191,0.004326193,0.590543789
2401.01,11521555,9.0982,5.866936694,5.872559398,0.002202097,0.68764669,0.001862137,0.586520415
1032.01,146589986,9.7611,5.664116412,5.66524571,0.003009406,1.048439285,0.003235281,0.575015824
1288.01,365733349,9.93119,2.699819982,2.699632655,0.002153331,1.086041424,0.002276982,0.572049854
1826.01,229400092,11.2086,4.141014101,4.14203009,0.007084826,0.754572714,0.007139989,0.571183939
2194.01,271478281,7.4259,15.35073507,15.34843907,0.000872674,0.734333583,0.00077786,0.567493124
172.01,29857954,10.7379,9.480648065,9.47029649,0.003373953,1.104412144,0.003065618,0.565211634
415.01,152476657,10.5831,3.608610861,3.610678372,0.005114076,0.613843256,0.004257547,0.561301653
272.01,268766053,11.7617,3.312181218,3.312164677,0.013431975,0.69371904,0.013370546,0.560326203
616.01,145879095,9.9794,2.805130513,2.805675797,0.002764541,0.917358382,0.002451806,0.554905874
819.01,73717937,11.7528,16.37068707,21.13492094,0.005533163,1.105312352,0.006699896,0.549639181
492.01,17746821,11.3155,3.121062106,3.121284721,0.00459901,1.17534727,0.005368255,0.548140068
2386.01,32487566,10.5853,2.758325833,2.758015068,0.006210664,0.748597767,0.006425203,0.543050123
