System,Format,Magnitude,Period,Time,Duration,Depth,Ratio
201642601,120sec,13.1686,3.1314473481551577,2039.0484212740328,0.1,0.010642559983448721,1.064280842534746
1069,20sec,10.4293,2.9767476747674766,3129.51728301001,0.1,0.010986948652086161,1.0275984494100854
31858843,120sec,10.4293,2.977655686360715,3129.512861724157,0.1,0.011290171398631966,1.0275984494100854
107,20sec,9.6433,3.94989498949895,2039.3383278861388,0.15,0.01169157315486281,1.0337107746451795
92352620,120sec,9.6433,3.9489172589626196,2039.3389066091354,0.15,0.01208570514273402,1.0337107746451795
1070,20sec,15.7114,2.9767476747674766,2036.7191211418049,0.1,1.393254863468994,1.0225651152766004
31858844,120sec,15.7114,2.977259134554319,2036.719468363868,0.1,1.4246938200728563,1.0225651152766004
1072,20sec,11.7106,12.838883888388839,2044.8389558899516,0.33,0.010192533639086435,0.985718405302589
140830390,120sec,11.7106,12.840460778751144,2044.8345345968248,0.33,0.010046968004713275,0.985718405302589
1073,20sec,13.6699,3.9225922592259233,3127.0167858740674,0.05,0.02604255420531815,1.0281603470072251
158297421,120sec,13.6699,3.9234185794817114,3127.0073645844896,0.05,0.026775921568694377,1.0281603470072251
1076,20sec,11.2474,2.5496549654965497,2036.5980507328309,0.1,0.012877541302231024,0.9596464927525883
360742636,120sec,11.2474,2.549415922690379,2036.5986294367353,0.1,0.0123578873459626,0.9596464927525883
1077,20sec,13.461,1.6077107710771077,2036.3903605546118,0.05,0.015488785449589206,1.0339295573856975
369960846,120sec,13.461,1.6063339682303064,2036.4009392508328,0.05,0.016014313084335798,1.0339295573856975
1078,20sec,10.1165,0.5175517551755175,2036.5828154532744,0.05,0.0004246456733981587,1.1537077178377229
370133522,120sec,10.1165,0.5181012700730019,2036.5633941636981,0.05,0.0004899169907458527,1.1537077178377229
108,20sec,13.163,3.0450045004500446,2064.7411102495,0.1,0.01732298821756908,1.0081605712404458
289793076,120sec,13.163,3.0436663378309023,2064.746688954811,0.1,0.017464353697015954,1.0081605712404458
1084,20sec,12.2851,1.3483348334833485,2361.9352901613997,0.1,0.015318594558112924,1.0140465269441952
380589029,120sec,12.2851,1.3484230961349961,2361.9358688820694,0.1,0.015533767609320657,1.0140465269441952
1086,20sec,12.2303,3.717821782178218,2038.2305510522208,0.2,0.004584420324584749,1.0358378086709534
468148930,120sec,12.2303,3.714908619574829,2038.2411297507701,0.2,0.004748715903044448,1.0358378086709534
1089,20sec,10.3918,4.689018901890189,2335.008918401758,0.33,0.0010866045370460386,0.418303164145412
129319156,120sec,10.3918,4.862219750327868,2334.684497121968,0.33,0.0004545301160211185,0.418303164145412
109,20sec,13.2366,2.766126612661266,2062.0911402935003,0.1,0.012754251248494419,1.0981694923834622
29344935,120sec,13.2366,2.7667385325391223,2062.086718995552,0.1,0.014006329619290256,1.0981694923834622
1091,20sec,9.3529,1.7247224722472247,2335.408779020487,0.15,0.0031780711054254745,1.0603250419272756
