toi,tid,type,Mid,Period,Duartion,Depth,Radius,Mag,st_rad
1444.01,258514800,PC,2458711.365,0.4702801,1.4108647,214.192245,1.5890513,10.1522,0.92499
1445.01,259172391,PC,2459767.018,9.8130697,3.91,630,2.67352,10.6074,1.06
1445.02,259172391,PC,2459740.829,4.7842093,2.947,390,2.14401,10.6074,1.06
1446.01,294471966,PC,2458689.364,6.3170657,2.4466954,688.3375977,2.4720516,10.7502,0.83031
1447.01,298073824,PC,2459754.507,1.2272251,3.528,40,2.8374,8.1033,4.12
1448.01,343628284,PC,2459857.186,8.0970819,3.127852,4723.072438,2.6354043,13.1717,0.381586
1449.01,356158613,PC,2458713.009,,3.417725,2167.320737,3.492429,10.745,0.604385
1449.02,356158613,PC,2458683.581,2.3691849,1.6840374,699.3113402,1.614201,10.745,0.604385
145.01,265612438,PC,2459060.642,5.13002,4.78,3376,8.86428,11.6789,1.58
1450.01,377293776,PC,2459662.336,2.0439268,1.008937,465.1929875,1.0924808,10.0306,0.473603
1451.01,417931607,PC,2459620.434,16.5379353,2.755,530,2.47266,8.9989,1.03
1452.01,420112589,PC,2459731.359,11.0619937,1.7587777,3249.116433,1.6184944,12.295,0.275364
1453.01,198390247,PC,2459962.008,6.58868,1.671,899,2.13501,10.1426,0.71
1453.02,198390247,PC,2459962.285,4.3135116,1.884,285,1.18824,10.1426,0.71
1454.01,294179385,PC,2459770.637,2.679411,2.836,14060,13.999,11.1612,1.14
1459.01,16920150,PC,2458765.546,9.155934,3.1412022,908.2412562,2.4949092,10.1583,0.82204
1464.01,229944666,PC,2459643.724,11.3125266,2.5943007,861.7265878,2.686447,10.8597,0.854841
1466.01,237086564,PC,2459823.877,1.8718991,1.475,920,2.40733,11.0278,0.75
1467.01,240968774,PC,2458766.989,5.9711357,1.5478671,1437.108603,1.8721145,10.5977,0.490737
1468.01,243185500,PC,2459450.356,15.5324385,1.7640717,2937.495321,2.013576,10.8858,0.369306
1468.02,243185500,PC,2459448.308,1.880531,1.1911684,1214.006659,1.4548629,10.8858,0.369306
1470.01,284441182,PC,2459883.444,2.5272822,1.265861,1847.487224,2.2007181,11.4752,0.49012
1471.01,306263608,PC,2459473.702,20.7729752,4.821,1610,3.91842,8.5725,0.97
1472.01,306955329,PC,2459885.569,6.3634106,2.692302,2368.695203,4.4784698,10.5508,0.859483
1473.01,352413427,PC,2459873.225,5.254492,2.958,420,2.16083,8.297,0.99
1475.01,431514478,PC,2458767.618,8.4953513,0.9060555,718.4869448,5.2961699,8.77994,1.88016
1478.01,409794137,PC,2459982.236,10.1802014,4.613,11500,12.3422,10.2042,1.04
1480.01,335483600,PC,2459855.711,3.354053,1.8984151,6389.17128,,8.7514,
1482.01,252616865,PC,2459872.298,5.7121916,4.643,7530,15.3652,10.0687,1.79
1483.01,452803785,PC,2459844.553,5.0037857,4.154,1950,6.77338,10.4935,1.09
1485.01,377191482,PC,2459673.207,2.9551881,1.361,230,5.60201,8.8052,6.17
1489.01,219751469,PC,2458690.049,6.98301,3.472,270,13.6402,8.2285,8.4
149.01,260985861,PC,2459362.787,3.339935,4.2844448,8941.897689,,10.8727,
1490.01,283474780,PC,2458765.914,3.9943,4.876,550,11.9767,8.39511,5.11
1491.01,53875855,PC,2459873.774,4.4902667,2.758,2513,5.56985,10.3996,1.23
1497.01,371673488,PC,2458765.481,0.8158,2.353,390,3.69088,9.95717,1.85
1503.01,428065977,PC,2459881.653,1.6534102,3.102,600,6.07704,10.2347,1.46
1505.01,331034236,PC,2459826.908,3.4272549,5.9083927,569.4677099,7.7503736,9.27116,2.0707099
