TOI,TIC,Magnitude,20 Period,120 Period,20 Depth,20 Error,120 Depth,120 Error
1735.01,365673804,8.3412,12.115361536153616,10.373148746017716,0.0002356871125362357,0.08392690546581799,0.00026410270304103126,0.07616070103808811
1736.01,408618999,8.3302,7.076057605760576,7.074813646981261,0.0005223459065142903,0.04236013820847702,0.0004234686972882489,0.0624697381033576
1765.01,272672133,11.7176,3.493549354935493,3.493339928052211,0.002571436861896466,0.050490127683477215,0.0027079164043983003,0.04373584451847059
1797.01,368435330,8.6259,3.6448761437799937,3.6456645664566456,0.0008784459114474891,0.026266305757162246,0.00044328188810550706,0.04761928189465091
181.01,76923707,10.4654,4.533003300330033,4.532086376954527,0.006639299293712336,0.016195063236553446,0.006044276689579063,0.02573540191332506
1951.01,356590734,9.8722,4.8294329432943295,4.829502459696915,0.006991812546555548,0.010393528242077257,0.007042886594167631,0.019115952434807425
1954.01,466113537,8.9718,4.922797815335089,4.911341134113411,0.0017654662847663765,0.02020586561732513,0.0015274454647353768,0.03735661436605462
2000.01,371188886,10.3579,9.12961296129613,9.123415446855216,0.0033407953720529285,0.02306829078811684,0.0035136340803822667,0.02965537281983382
2005.01,147660886,9.4916,17.302880288028803,17.309168698147943,0.002685417643439171,0.020123265708325178,0.000595839313578277,0.1707427449406222
201.02,350618622,8.5822,6.258925892589259,3.4005713352613385,0.0003079064281479361,0.049778583108272316,0.0002057740740141663,0.065322296382957
205.01,281575427,9.4525,3.382071307940876,4.267776777677768,0.00015903329243618556,0.11531880285704059,0.00015034209983996556,0.14725033796609788
2050.01,316468545,9.70362,15.356585658565855,13.616610941022094,0.0009892467835652995,0.044861841694086184,0.0005773717015892506,0.13687988372809332
2056.01,396356111,7.3307,11.157815781578158,11.35695914325906,0.00019428346296057418,0.054306542161853245,0.00018002760386924245,0.06428291472566128
2069.01,198187049,7.9726,5.335809976137127,5.410591059105911,0.0024013380571586774,0.010137806432401461,0.0023919685008912707,0.01880521805735674
2096.01,142748283,13.4764,4.291179117911791,4.394316006758191,0.004946037635186079,0.05483995757287529,0.00560456431688882,0.06168579768479298
210.01,141608198,12.5395,12.27156635555545,9.012601260126011,0.003399344903894694,0.08513487281237825,0.0029422736660254093,0.15021325554770307
2104.02,367630162,10.0556,5.902040204020402,5.901628956775065,0.00038164780021895483,0.14812987202245548,0.00045184090900921134,0.1531413938761249
