System,Format,Type,Magnitude,Period,Time,Duration,Depth,Ratio
281459670.0,120sec, ,,3.1742049542488,2064.489126519821,0.1,0.0137897728356591,
111.01,20sec,KP,13.183,2.105010501050105,2063.268634519244,0.05,0.0086857808547172,0.9729637673181212
355703913.0,120sec, ,,2.1058316002617365,2063.264213232006,0.05,0.0084509500625053,
112.01,20sec,KP,11.6035,2.498949894989499,2037.358745422342,0.1,0.0130126789231595,1.0470371401890786
388104525.0,120sec, ,,2.4996054510941645,2037.354324139518,0.1,0.0136247581259036,
114.01,20sec,KP,10.6103,3.2887788778877893,2037.903859635086,0.15,0.0054399528197937,0.9821791418990862
25155310.0,120sec, ,,3.2887417454616754,2037.9044383474304,0.15,0.0053430081925165,
1148.01,20sec,KP,7.9179,5.551005100510051,2939.4538628146406,0.15,0.0072199466609609,1.0864621923907023
349827430.0,120sec, ,,5.550950482086912,2939.456056770732,0.15,0.0078441990782116,
115.01,20sec,KP,13.0417,4.743624362436243,2064.968622174674,0.1,0.0107998233160746,0.942942504058366
281541555.0,120sec, ,,4.742903745820127,2064.9692008944207,0.1,0.0101836124410473,
116.01,20sec,KP,11.0443,2.7992799279928,2037.5258282598236,0.1,0.0125327111260021,1.016747840998294
238176110.0,120sec, ,,2.798738694751564,2037.5264069767663,0.1,0.0127426069792179,
1165.01,20sec,KP,9.76703,2.255175517551755,2854.4078619541274,0.1,0.0142121078418729,1.00459601274398
458478250.0,120sec, ,,2.255201802808544,2854.403440661294,0.1,0.014277426870633,
117.01,20sec,KP,11.7806,3.5871587158715874,2063.6531781290405,0.1,0.0053796823241194,1.0253141112208013
322307342.0,120sec, ,,3.5863993240008067,2063.6537568485546,0.1,0.0055158642008047,
1337.01,20sec,KP,9.8787,3.345334533453345,3071.214012141784,0.15,0.0094534725608459,1.0164644164549237
160708862.0,120sec, ,,3.3457221059639712,3071.214590859655,0.15,0.0096091184700328,
1373.01,20sec,KP,9.995771,3.852385238523852,2853.708538538128,0.1,0.0078693301187808,0.9966775350102128
176899385.0,120sec, ,,3.8522321629102607,2853.709117248088,0.1,0.0078431845449681,
1388.01,20sec,KP,9.76031,4.464746474647464,2829.475967406078,0.1,0.010595089623877,1.104418805506652
346338552.0,120sec, ,,4.464693949142889,2829.476546127209,0.1,0.0117014162266382,
1458.01,20sec,KP,10.374,2.775877587758776,2854.998626827556,0.1,0.0114076574189995,1.066706343165879
191284318.0,120sec, ,,2.776190355309158,2854.999205547295,0.1,0.01216862052951,
1476.01,20sec,KP,10.2242,1.2176717671767177,2853.968792929355,0.1,0.0065059607730371,0.9990119395704378
432549364.0,120sec, ,,1.2174470822419776,2853.974371642109,0.1,0.0064995324906409,
1477.01,20sec,KP,10.6496,2.732973297329733,2855.9280163770404,0.05,0.0081911578248079,1.0501716986385667
240681314.0,120sec, ,,2.732248337344985,2855.933595098642,0.05,0.0086021221266951,
1580.01,20sec,KP,9.17925,4.794329432943295,2885.683641340197,0.2,0.0053803484635191,1.0044987412301578
354469661.0,120sec, ,,4.793692015466174,2885.6842200515466,0.2,0.0054045532589846,
1599.01,20sec,KP,7.87611,1.2196219621962197,2883.1993792816465,0.1,0.0125324223069388,1.007509502692649
129979528.0,120sec, ,,1.2198269781973696,2883.199957994859,0.1,0.0126265345659982,
1612.01,20sec,KP,10.0521,2.863636363636364,2913.776783158157,0.1,0.0076134154970449,0.980244404302387
268403451.0,120sec, ,,2.864425078871524,2913.776157286359,0.1,0.0074630079386074,
1628.01,20sec,KP,11.1541,2.144014401440144,2825.4584121911,0.1,0.0084514608705243,1.0141712905723668
284475976.0,120sec, ,,2.1436290343705844,2825.458990888249,0.1,0.0085712289782815,
1651.01,20sec,KP,9.88278,3.7646264626462647,2913.198353818279,0.1,0.0118503639637507,0.9943537777078116
138168780.0,120sec, ,,3.764515605475939,2913.1991207251745,0.1,0.011783454174568,
1676.01,20sec,KP,9.441,3.191269126912692,2913.757774778694,0.1,0.0072592953038137,0.9825425601441016
8400842.0,120sec, ,,3.1920160287855968,2913.754881224713,0.1,0.0071325665926512,
1682.01,20sec,KP,8.14847,2.734923492349235,2913.1605092487102,0.15,0.0066247978817819,1.0077504488681552
367366318.0,120sec, ,,2.734422767209214,2913.162656361355,0.15,0.0066761430390265,
1714.01,20sec,KP,10.7131,3.474047404740474,2940.451450383884,0.15,0.0111869953275802,1.0215728407976128
239154970.0,120sec, ,,3.473925475355816,2940.4514689784783,0.15,0.0114283305967857,
